Electricity demand Colombia 2013 [MW],Electricity demand Colombia 2015 [MW],Electricity demand Colombia 2014 [MW],Electricity demand Colombia 2016 [MW],Electricity demand Colombia 2012 [MW],Daily natural water inflows time series 2010 [GW],Daily natural water inflows time series 2009 [GW],Daily natural water inflows time series 2014 [GW],Daily natural water inflows time series 2012 [GW],Daily natural water inflows time series 2016 [GW],Daily natural water inflows time series 2007 [GW],Table 1, Installed capacity in Colombia 2006-2016,Daily natural water inflows time series 2011 [GW],Daily natural water inflows time series 2006 [GW],Daily natural water inflows time series 2015 [GW],Hourly average hydropower generation ENSO-NINO [MW],Hourly hydropower generation 2014 [MW],Daily natural water inflows time series 2013 [GW],Daily natural water inflows time series 2008 [GW],Hourly average hydropower generation ENSO-NINA [MW],3, Wind_generation_Colombia2014 - Installed cap, 19,5 MW,6, Wind_generation_ENSO-NINO,5, Solar_generation_ENSO- NINA,2, Estimated Wind generation - Installed cap, 658 MW,1, Estimated Solar PV generation - Installed cap, 520 MW,4, Solar_generation_ENSO-NINO,7, Wind_generation_ENSO-NINA,ExportsTotal 2012 MW,ExportsTotal 2016 MW,ImportsTotal 2015 MW,ExportsTotal 2014 MW,ImportsTotal 2013 MW,ExportsTotal 2013 MW,ImportsTotal 2012 MW,ImportsTotal 2016 MW,ExportsTotal 2015 MW,ImportsTotal 2014 MW
6134.0,6328.22,6579.40628,6056.44,6213.0,30.18,83.09,82.31,94.35,40.87,45.66,,,70.23,111.22,103.97,2019.546,4217.87876,52.83,62.95,4439.0096,8.82072,,,,232.66,,53.11,,279.08,,,57.37,,,54.59,,179.93,,10.59,1.12,0.0,321.32,0.0,0.95,0.0,0.0,2.53,0.0
6513.0,6718.53,6959.21872,6460.97,6504.0,32.33,74.76,95.02,79.19,43.87,45.89,,,71.83,145.99,99.74,2377.932,4530.24633,62.4,62.78,4705.822645,10.00006,,,,204.11,,174.79,,233.91,,,164.03,,,152.99,,234.85,,10.67,1.79,0.0,320.4,0.0,0.84,0.0,0.0,1.61,0.0
6840.0,7043.65,7285.7273,6685.25,6806.0,29.03,103.91,71.76,83.91,36.78,42.03,,,68.93,116.59,78.64,2636.541,4795.5761,80.29,58.12,4941.347475,10.7843,,,,239.28,,255.65,,209.04,,,243.21,,,209.84,,261.89,,10.3,2.09,0.0,320.82,0.32,0.0,0.0,0.0,1.81,0.0
7146.0,7258.55,7518.31798,6801.79,7002.0,31.08,83.74,74.7,92.84,47.1,44.43,,,65.87,90.91,68.3,2766.682,4930.48137,80.92,54.11,5132.43994,10.46041,,,,271.37,,311.7,,188.01,,,299.02,,,242.12,,302.88,,1.83,0.95,0.0,321.45,0.0,66.66,0.0,0.0,0.38,0.0
7207.0,7255.69,7479.26064,6926.47,6967.0,44.3,75.69,80.09,181.09,43.32,40.31,,,83.9,77.67,97.83,2877.702,4876.48894,78.36,55.4,5104.377335,9.41192,,,,286.69,,345.85,,169.7,,,311.88,,,284.1,,326.04,,0.64,0.09,0.0,320.32,0.0,105.78,0.0,0.03,0.77,0.0
7163.0,7212.09,7430.62491,6860.13,6848.0,36.26,72.4,73.55,136.28,40.65,40.86,,,116.94,66.39,87.88,2795.91,4833.89357,70.82,65.11,5013.099015,10.79405,,,,335.82,,305.67,,262.72,,,300.74,,,333.71,,301.64,,1.87,0.87,0.0,321.25,0.0,108.84,0.0,0.0,0.44,0.0
7211.0,7218.58,7485.34778,6731.77,6930.0,38.08,76.92,67.09,170.75,55.0,41.29,,,93.17,72.28,117.1,2575.472,4882.53386,79.22,80.45,4916.803175,10.78008,,,,338.62,,302.45,,344.56,,,292.47,,,339.07,,339.1,,1.53,0.55,0.0,320.82,0.0,109.09,0.0,0.0,0.64,0.0
7197.0,7169.99,7467.06107,6678.7,6928.0,55.87,111.34,65.61,124.94,52.37,43.93,,,94.79,62.71,119.9,2549.935,4907.44477,112.98,71.13,4884.11706,11.42321,,,,320.67,,312.41,,406.63,,,228.91,,,302.41,,368.25,,1.8,0.37,0.0,320.16,0.0,107.98,0.0,0.0,0.96,0.0
7075.0,7022.93,7351.27585,6630.62,6901.0,36.46,95.42,74.73,103.07,50.76,45.49,,,107.96,55.33,140.99,2532.616,4847.57661,113.99,92.63,4790.72013,11.16672,,,,325.52,,251.99,,410.39,,,229.69,,,252.21,,374.72,,0.0,0.15,0.0,320.74,0.0,105.81,0.51,0.63,1.47,0.0
7057.0,6989.57,7323.2799,6747.87,7077.0,40.26,118.14,72.4,100.8,57.17,41.72,,,110.35,55.42,119.5,2622.816,4867.83733,115.27,67.4,4936.883415,9.36005,,,,364.87,,130.33,,423.5,,,168.79,,,172.59,,270.48,,2.16,1.15,0.06,320.75,0.09,108.85,0.0,0.0,0.12,0.0
8042.0,7974.02,8156.59831,7731.27,8498.0,38.2,190.72,67.4,95.06,56.72,39.1,,,105.01,63.23,89.26,3737.903,5653.3176,103.95,57.68,6185.04586,9.91148,,,,324.58,,56.29,,443.32,,,72.59,,,70.94,,187.61,,93.27,2.43,0.0,211.66,0.0,129.14,0.0,0.0,2.68,0.0
